video	video_duration(s)	execution_time(s)	ratio
JohnWick2_Plan 629.mp4	15.18	9.43	0.621
JohnWick2_Plan 867.mp4	18.23	11.36	0.623
La.Haine_Plan 115.mp4	33.03	25.77	0.780
La.Haine_Plan 428.mp4	33.32	25.93	0.778
La.Haine_Plan 470.mp4	17.89	13.87	0.775
La.Haine_Plan 533.mp4	31.66	24.45	0.773
La_ligne_Verte_Plan 1113.mp4	21.40	13.32	0.623
La_ligne_Verte_Plan 1288.mp4	35.79	22.22	0.621
LeCorniaud_Plan 12.mp4	39.20	25.76	0.657
LeCorniaud_Plan 497.mp4	43.80	28.63	0.654
LeCorniaud_Plan 547.mp4	76.24	49.99	0.656
LeCorniaud_Plan 675.mp4	37.12	24.42	0.658
Leon_Plan 1129.mp4	22.81	16.80	0.736
Leon_Plan 737.mp4	20.19	14.64	0.725
Leon_Plan 786.mp4	18.73	13.71	0.732
Leon_Plan 947.mp4	11.80	8.66	0.733
MAN_OF_THE_WEST_SCN_Plan 279.mp4	20.56	13.25	0.645
MAN_OF_THE_WEST_SCN_Plan 316.mp4	25.04	16.12	0.644
MK_s.1+2_Pont_Plan 24.mp4	15.96	10.31	0.646
MOF.mp4	17.20	11.30	0.657
ManOfTheWest.mp4	26.36	17.05	0.647
ManOfTheWest_Plan305.mp4	25.72	16.61	0.646
Ragtime_STF_Plan 5.mp4	17.08	11.06	0.647
SHINING_Plan 289.mp4	58.60	45.71	0.780
SHINING_Plan_233.mp4	42.46	33.01	0.778
Sc.Coupee_Plan 21.mp4	45.36	29.37	0.648
Shining.mp4	39.29	30.71	0.782
THE STRAIGHT STORY_Plan 231.mp4	43.33	33.48	0.773
THE STRAIGHT STORY_Plan 403.mp4	24.21	18.75	0.774
THE STRAIGHT STORY_Plan 413.mp4	24.58	19.24	0.783
THE STRAIGHT STORY_Plan 461.mp4	23.88	18.42	0.772
THE STRAIGHT STORY_Plan 514.mp4	42.38	32.84	0.775
THE STRAIGHT STORY_Plan 665.mp4	35.08	27.10	0.773
THE_KILLING_Plan 427.mp4	38.64	25.26	0.654
TripToTheMoon1.mp4	21.71	31.56	1.454
VV_adele_Plan 1405.mp4	32.32	21.26	0.658
Vivant parmi les vivants (2023) Sylvère Petit_Plan 132.mp4	4.24	3.51	0.827
Vivant parmi les vivants (2023) Sylvère Petit_Plan 31.mp4	25.36	20.37	0.803
Vivant parmi les vivants (2023) Sylvère Petit_Plan 338.mp4	23.20	18.68	0.805
Vivant parmi les vivants (2023) Sylvère Petit_Plan 343.mp4	15.00	12.27	0.818
Vivant parmi les vivants (2023) Sylvère Petit_Plan 394.mp4	12.08	10.02	0.830
adele1.mp4	35.20	23.03	0.654
adele1_bis.mp4	24.24	15.92	0.657
adele2.mp4	53.88	35.34	0.656
adele3.mp4	10.88	7.16	0.658
adele4.mp4	14.44	9.50	0.658
dinerdecons1.mp4	10.46	7.79	0.744
dinerdecons2.mp4	13.83	10.14	0.733
dinerdecons3.mp4	17.38	12.83	0.738
dinerdecons4.mp4	10.62	7.86	0.739
johnwick1.mp4	22.69	16.55	0.729
johnwick2.mp4	28.40	20.52	0.722
johnwick3.mp4	24.15	17.56	0.727
johnwick4.mp4	26.53	19.34	0.729
lecorniaud1.mp4	21.12	13.85	0.656
lecorniaud2.mp4	15.48	10.19	0.658
lecorniaud3.mp4	25.92	17.00	0.656
lecorniaud4.mp4	36.60	24.06	0.657
montecristo1.mp4	34.29	21.58	0.629
montecristo2.mp4	13.04	8.26	0.633
montecristo3.mp4	12.75	8.03	0.630
shinning1.mp4	29.78	23.21	0.780
shinning2.mp4	21.02	16.39	0.780
shinning3.mp4	19.60	15.33	0.782

Temps total video: 3093.81s
Temps total : 2160.01s
Ratio total : 0.698
